,first_name,last_name,proffession,Birthplace,Age,Birth Sign,month,day,year,popularity_rate,DEATH DATE
217,Travis,Flory,TV Actor,San Bernardino,30,Gemini,May,24,1991,107710,
218,Travis,Flores,Children's Author,Glendale,31,Aries,April,7,1991,83527,
219,Travis,Fine,Movie Actor,Atlanta,53,Cancer,June,26,1968,131262,
220,Travis,Fimmel,TV Actor,Australia,42,Cancer,July,15,1979,18349,
221,Travis,Jr,Football Player, Louisiana ,23,Capricorn,January,6,1999,97984,
222,Travis,Edmonson,Folk Singer, California ,,Libra,September,23,1932,120913,May 9
223,Travis,Dodd,Soccer Player,Australia,42,Capricorn,January,6,1980,183791,
224,Travis,DesLaurier,Model,Edmonton,36,Gemini,June,16,1985,44747,
225,Travis,Denning,Country Singer,Warner Robins,29,Sagittarius,December,1,1992,59558,
226,Travis,Dean,YouTube Star, California ,44,Virgo,September,2,1977,38358,
227,Travis,d'Arnaud,Baseball Player,Long Beach,33,Aquarius,February,10,1989,87036,
228,Travis,Cormier,Pop Singer,Canada,28,Libra,September,26,1993,100395,
229,Travis,Coles,TV Actor,United States,35,Scorpio,October,23,1986,74044,
230,Travis,Cole,Family Member,United States,37,Cancer,July,17,1984,134239,
231,Travis,Cloke,Australian Rules Footballer,Australia,35,Pisces,March,5,1987,128443,
232,Travis,Clark,Rock Singer, Florida ,37,Taurus,April,24,1985,16254,
233,Travis,Caldwell,TV Actor,Phoenix,33,Capricorn,January,16,1989,102209,
234,Travis,Burns,Soap Opera Actor,Australia,31,Taurus,April,23,1991,31480,
235,Travis,Burke,Photographer,United States,36,Aries,April,17,1986,165611,
236,Travis,Buck,Baseball Player, Washington ,38,Scorpio,November,18,1983,210949,
237,Travis,Bryant,YouTube Star,Denver,35,Aquarius,January,21,1987,16927,
238,Travis,Bryant,TV Actor,Austin,24,Libra,October,12,1997,49973,
239,Travis,Browne,MMA Fighter,Honolulu,39,Cancer,July,17,1982,50170,
240,Travis,Brody,Entrepreneur,Long Beach,38,Pisces,March,14,1984,133113,
241,Travis,Boak,Australian Rules Footballer,Australia,33,Leo,August,1,1988,72818,
242,Travis,Birt,Cricket Player,Australia,40,Sagittarius,December,9,1981,207748,
243,Travis,Best,Basketball Player, Massachusetts ,49,Cancer,July,12,1972,161930,
244,Travis,Bennett,Rapper, California ,28,Taurus,May,16,1994,7761,
245,Travis,Benjamin,Football Player,Belle Glade,32,Capricorn,December,29,1989,105652,
246,Travis,Beck,YouTube Star, North Dakota ,27,Libra,October,10,1994,107946,
247,Travis,Barton,Motivational Speaker,United States,37,Aries,April,7,1985,208175,
248,Travis,Barker,Drummer,Fontana,46,Scorpio,November,14,1975,220,
249,Travis,Badass,Instagram Star,United States,24,Libra,October,2,1997,21130,
250,Travis,Bacon,Family Member,Los Angeles,32,Cancer,June,23,1989,152184,
251,Travis,Atwood,Dancer, Rhode Island ,21,Gemini,June,9,2000,15820,
252,Travis,Atreo,Pop Singer,Philippines,35,Aquarius,February,3,1987,71927,
253,Travis,Alexander,Entrepreneur, California ,,Leo,July,28,1977,48519,Jun 4
254,Travis,Akers,Twitter Star,United States,40,Gemini,June,14,1981,157043,
255,Travion,Thomas,TikTok Star, South Carolina ,19,Scorpio,November,20,2002,29958,
256,Travie,Williams,YouTube Star, California ,28,Capricorn,December,27,1993,17728,
257,Travie,McCoy,Rapper,Geneva,40,Leo,August,6,1981,16899,
258,Traves,Traves,YouTube Star,United States,21,Cancer,July,9,2000,6401,
259,Travers,Beynon,Business Executive,Melbourne,50,Pisces,March,6,1972,98642,
260,Traver,Rains,Fashion Designer,Fort Collins,45,Pisces,March,4,1977,170758,
261,Travan,Porchia,YouTube Star,United States,32,Leo,August,4,1989,141478,
262,Trav,Springer,Instagram Star,Philippines,25,Aries,April,2,1997,90099,
263,Trav,Green,TikTok Star,Canada,33,Aquarius,February,9,1989,87832,
264,Traudl,Junge,,Germany,,Pisces,March,16,1920,156119,Feb 10
265,Trasienne,Estrada,Fashion Designer,Philippines,36,Aquarius,February,2,1986,218747,
266,TrashyEboy,TrashyEboy,TikTok Star,United States,16,Aries,March,23,2006,84548,
267,trashontwolegs,trashontwolegs,TikTok Star,Wales,18,Pisces,March,1,2004,96564,
268,queerelf,queerelf,TikTok Star,Germany,16,Virgo,August,29,2005,5486,
269,Trasherk,Trasherk,YouTube Star,Chile,27,Libra,October,17,1994,201397,
270,trash_italiano,trash_italiano,Vine Star,Italy,28,Capricorn,December,28,1993,130090,
